fragments,amf_species,abundance
Fururu,Acaulospora laevis,15
Fururu,Acaulospora laevis,10
Fururu,Acaulospora laevis,13
Fururu,Paraglomus sp1,9
Fururu,Paraglomus sp1,10
Fururu,Paraglomus sp1,7
Fururu,Acaulospora scrobiculata,2
Fururu,Acaulospora scrobiculata,1
Fururu,Acaulospora scrobiculata,1
Fururu,Acaulospora cavemata,2
Fururu,Acaulospora cavemata,1
Fururu,Acaulospora cavemata,2
Fururu,Acaulospora sp1,2
Fururu,Acaulospora sp1,2
Fururu,Acaulospora sp1,2
Fururu,Acaulospora sp2,2
Fururu,Acaulospora sp2,1
Fururu,Acaulospora sp2,1
Fururu,Acaulospora sp3,2
Fururu,Acaulospora sp3,1
Fururu,Acaulospora sp3,0
Fururu,Gigaspora margarita,1
Fururu,Gigaspora margarita,1
Fururu,Gigaspora margarita,1
Fururu,Glomus sp1,2
Fururu,Glomus sp1,2
Fururu,Glomus sp1,3
Fururu,Glomus sp2,5
Fururu,Glomus sp2,6
Fururu,Glomus sp2,3
