fragments,amf_species,abundance
Ngangao,Acaulospora laevis,18
Ngangao,Acaulospora laevis,16
Ngangao,Acaulospora laevis,16
Ngangao,Ethrophospora sp1,2
Ngangao,Ethrophospora sp1,3
Ngangao,Ethrophospora sp1,4
Ngangao,Paraglomus sp1,2
Ngangao,Paraglomus sp1,1
Ngangao,Paraglomus sp1,1
Ngangao,Acaulospora foveata,2
Ngangao,Acaulospora foveata,1
Ngangao,Acaulospora foveata,2
Ngangao,Acaulospora sp1,2
Ngangao,Acaulospora sp1,0
Ngangao,Acaulospora sp1,0
Ngangao,Acaulospora denticulata,2
Ngangao,Acaulospora denticulata,1
Ngangao,Acaulospora denticulata,0
Ngangao,Archaeospora sp2,1
Ngangao,Archaeospora sp2,1
Ngangao,Archaeospora sp2,0
Ngangao,Gigaspora margarita,2
Ngangao,Gigaspora margarita,2
Ngangao,Gigaspora margarita,1
Ngangao,Glomus sp1,4
Ngangao,Glomus sp1,4
Ngangao,Glomus sp1,3
Ngangao,Glomus sp2,5
Ngangao,Glomus sp2,6
Ngangao,Glomus sp2,6
Ngangao,Glomus sp4,2
Ngangao,Glomus sp4,3
Ngangao,Glomus sp4,3
Ngangao,Glomus sp5,2
Ngangao,Glomus sp5,0
Ngangao,Glomus sp5,0
Ngangao,Gigasporales sp1,2
Ngangao,Gigasporales sp1,2
Ngangao,Gigasporales sp1,2
Ngangao,Dentiscutata sp,2
Ngangao,Dentiscutata sp,0
Ngangao,Dentiscutata sp,0
